"FOLIO","VIV_SEL","HOGAR","C_DENEVI","P3A2_2","P3A2_3","P3A3","P3A4","P3A5","P3A6","P3A7","P3A8_1","P3A8_2","P3A8_3","P3A9","P3A10","P3A11","ENT","TLOC","EST_DIS","UPM_DIS","FACTOR"
"0000277","01","1","1","03","","4","4","","05","1","1","","","9","1","","01","4","011","0000277",244
"0000277","03","1","1","03","","3","2","","05","","1","","","9","1","","01","4","011","0000277",244
"0000277","10","1","1","01","","2","4","","05","1","1","","","2","1","","01","4","011","0000277",244
"0000277","19","1","1","02","","3","2","","05","","2","","","9","2","1","01","4","011","0000277",244
"0000278","02","1","1","03","","1","4","","03","1","1","","","1","1","","01","4","011","0000278",204
"0000278","21","1","1","04","","2","1","4","","","","","","","","","01","4","011","0000278",204
"0000279","20","2","1","01","02","3","1","6","","","","","","","","","01","4","011","0000279",197
"0000280","08","1","1","02","","4","4","","08","2","","","","","","","01","4","011","0000280",211
"0000280","15","1","1","01","","3","3","","03","","9","","","9","2","2","01","4","011","0000280",211
"0000280","17","1","1","01","","3","4","","01","1","1","","","2","2","1","01","4","011","0000280",211
"0000280","20","1","1","01","","3","2","","05","","5","","","4","2","1","01","4","011","0000280",211
"0000281","15","1","1","01","","3","4","","05","2","","","","","","","01","4","011","0000281",221
"0000281","17","1","1","01","","3","4","","05","2","","","","","","","01","4","011","0000281",221
"0000281","19","2","1","01","","3","4","","05","1","1","","","9","2","1","01","4","011","0000281",221
"0000281","20","1","1","01","","3","4","","03","2","","","","","","","01","4","011","0000281",221
"0000282","02","1","1","01","","8","4","","01","2","","","","","","","01","4","011","0000282",114
"0000282","17","2","1","02","","1","1","5","","","","","","","","","01","4","011","0000282",114
"0000283","12","1","1","05","","9","9","","","","","","","","","","01","4","011","0000283",149
"0000283","14","1","1","03","","9","4","","03","2","","","","","","","01","4","011","0000283",149
"0000284","12","1","1","02","","2","3","","05","","6","","","3","2","8","01","4","011","0000284",222
"0000285","04","2","1","02","","2","4","","05","2","","","","","","","01","4","011","0000285",231
"0000285","11","2","1","01","","3","4","","05","1","1","","","1","1","","01","4","011","0000285",231
"0000285","13","1","1","04","","2","4","","05","2","","","","","","","01","4","011","0000285",231
"0000285","13","1","2","05","","2","4","","05","1","1","","","1","2","9","01","4","011","0000285",231
"0000286","09","1","1","01","","4","4","","05","1","1","","","2","2","1","01","4","011","0000286",176
"0000286","09","2","1","02","","1","1","6","","","","","","","","","01","4","011","0000286",176
